name	prize
PTN6_HUMAN	4.256576053583031
RGS12_HUMAN	1.752361310862412
ANLN_HUMAN	3.288347923069404
RS25_HUMAN	2.299075970419505
COR1A_HUMAN	1.9955203209803056
MACOI_HUMAN	1.8491590241913136
PHAG1_HUMAN	3.689478221371008
HNRPU_HUMAN	2.7225202323227413
GLSK_HUMAN	1.344998445465336
DLGP5_HUMAN	2.177661100418393
KLC2_HUMAN	2.339877471765953
PTMS_HUMAN	3.33063379713005
MINT_HUMAN	4.333357363918116
ARI4B_HUMAN	1.8934040029807349
MTG16_HUMAN	2.5912818476609134
MABP1_HUMAN	2.028482100348224
UB2J1_HUMAN	3.0379043550731826
LSM3_HUMAN	2.683425139797944
ARMC7_HUMAN	1.1886614493510457
PEX3_HUMAN	2.099961865993031
