Node1	Node2	Frequency	Direction
YBR160W	YBR038W	0.184	D
YBR160W	YJL157C	0.176	D
YJR059W	YMR196W	0.164	D
YPL209C	YJL080C	0.164	D
YNL307C	YKL159C	0.16	D
YIL095W	YBL047C	0.156	D
YIL095W	YCR030C	0.156	D
YIL095W	YDL161W	0.156	D
YIL095W	YDL223C	0.156	D
YIL095W	YER155C	0.156	D
YIL095W	YJL044C	0.156	D
YIL095W	YJL129C	0.156	D
YIL095W	YJR092W	0.156	D
YIL095W	YNL243W	0.156	D
YDR490C	YGR086C	0.152	D
YBR160W	YOR014W	0.14	D
YPL031C	YBR188C	0.14	D
YBL105C	YLR133W	0.136	D
YBR160W	YBL105C	0.136	D
YIL095W	YDR159W	0.12	D
YPL031C	YJR076C	0.112	D
YBR160W	YPL255W	0.108	D
YBR160W	YOR373W	0.104	D
YIL095W	YML088W	0.1	D
YPL209C	YGR113W	0.1	D
YJR059W	YDR137W	0.096	D
YPL031C	YOR054C	0.096	D
YPL031C	YFL001W	0.088	D
YNL307C	YBR086C	0.084	D
YPL031C	YKR021W	0.076	D
YPL209C	YKL089W	0.06	D
YBR160W	YGL124C	0.052	D
YHR079C	YHR114W	0.052	D
YNL307C	YEL015W	0.032	D
YJR059W	YDL102W	0.028	D
YHR102W	YNL161W	0.02	D
YPL031C	YMR039C	0.016	D
YBR160W	YLR102C	0.012	D
YPL031C	YGL153W	0.012	D
