Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize	Nodes in sources	Nodes in targets
output/data0-omicsintegrator1-params-LIRGDZ2/pathway.txt	187	183	4	185	0	0
output/data0-omicsintegrator1-params-LMGEY65/pathway.txt	181	177	4	179	0	0
output/data0-omicsintegrator1-params-LR2SWDF/pathway.txt	206	201	5	204	0	0
output/data0-omicsintegrator1-params-LYSEJ7K/pathway.txt	285	280	5	280	0	0
output/data0-omicsintegrator1-params-LZ7L45D/pathway.txt	321	314	7	316	0	0
output/data0-omicsintegrator1-params-LZTCEP6/pathway.txt	274	269	5	269	0	0
output/data0-omicsintegrator1-params-LZZ6KM7/pathway.txt	201	197	4	199	0	0
output/data0-omicsintegrator1-params-MCSO2G5/pathway.txt	263	258	5	258	0	0
output/data0-omicsintegrator1-params-MELFAYW/pathway.txt	132	130	2	131	0	0
output/data0-omicsintegrator1-params-MHJGNTV/pathway.txt	280	275	5	275	0	0
output/data0-omicsintegrator1-params-MKLW7E3/pathway.txt	288	283	5	283	0	0
output/data0-omicsintegrator1-params-MLOAWX3/pathway.txt	206	201	5	204	0	0
output/data0-omicsintegrator1-params-MUKNIGT/pathway.txt	283	278	5	278	0	0
output/data0-omicsintegrator1-params-MWQXLRR/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-MZGZBAP/pathway.txt	234	230	4	231	0	0
output/data0-omicsintegrator1-params-N3I6W6F/pathway.txt	131	129	2	130	0	0
output/data0-omicsintegrator1-params-N52PQ2A/pathway.txt	330	322	8	325	0	0
output/data0-omicsintegrator1-params-NA5X3CY/pathway.txt	306	299	7	301	0	0
output/data0-omicsintegrator1-params-NLZEBLZ/pathway.txt	320	313	7	315	0	0
output/data0-omicsintegrator1-params-NPL7VAC/pathway.txt	244	240	4	241	0	0
output/data0-omicsintegrator1-params-NTAK37S/pathway.txt	187	183	4	185	0	0
output/data0-omicsintegrator1-params-NTFETWL/pathway.txt	180	176	4	178	0	0
