name	prize
CH60_HUMAN	1.0657634082295693
CCDC9_HUMAN	1.3790844369432236
KTNB1_HUMAN	1.8925827513787208
CDS2_HUMAN	1.521837471774267
DNJB2_HUMAN	2.0741363450505035
ATX10_HUMAN	1.1412670168811665
PCLO_HUMAN	3.1395052780156214
CBX8_HUMAN	1.7720618765978158
IF4G1_HUMAN	1.7184322502679668
SAFB1_HUMAN	1.289184704701846
TOPK_HUMAN	2.001547002460393
PCM1_HUMAN	2.2486198914855287
NDUA5_HUMAN	3.029621522802649
MDC1_HUMAN	1.2736999749815556
PI4KB_HUMAN	1.9323419277671952
GBF1_HUMAN	1.1054250730101307
ELF1_HUMAN	2.0741363450505035
LCK_HUMAN	1.1790711506753633
DCAKD_HUMAN	1.8446537391239848
