Node1	Node2	Frequency	Direction
CHIP_HUMAN	HS90A_HUMAN	0.16	U
CHIP_HUMAN	P53_HUMAN	0.08	U
CHIP_HUMAN	UBE2N_HUMAN	0.08	U
CIR1_HUMAN	SRSF2_HUMAN	0.16	U
CND2_HUMAN	SMC2_HUMAN	0.08	U
CNOT2_HUMAN	CNOT3_HUMAN	0.2	U
CNOT4_HUMAN	UB2D2_HUMAN	0.16	U
COASY_HUMAN	KS6B1_HUMAN	0.16	U
COMD1_HUMAN	COMD6_HUMAN	0.16	U
COMD1_HUMAN	CUL2_HUMAN	0.16	U
CSK21_HUMAN	AN32B_HUMAN	0.16	D
CSK21_HUMAN	CD5_HUMAN	0.16	D
CSK21_HUMAN	N0E4C7_HUMAN	0.16	U
CSK21_HUMAN	PRPF3_HUMAN	0.16	D
CSK21_HUMAN	ROA2_HUMAN	0.16	U
CSK21_HUMAN	XRCC1_HUMAN	0.16	D
CTCF_HUMAN	SUMO2_HUMAN	0.16	U
CTNB1_HUMAN	KPCA_HUMAN	0.16	U
CTNB1_HUMAN	PSN1_HUMAN	0.12	U
CTRO_HUMAN	RHOA_HUMAN	0.16	U
CUL1_HUMAN	RBX1_HUMAN	0.16	U
CUL2_HUMAN	RBX1_HUMAN	0.16	U
CUL2_HUMAN	UBXN7_HUMAN	0.16	U
CUL3_HUMAN	KEAP1_HUMAN	0.16	U
CUL3_HUMAN	RBX1_HUMAN	0.16	U
CUL3_HUMAN	SHKB1_HUMAN	0.16	U
D0PNI1_HUMAN	EIF3A_HUMAN	0.12	U
D0PNI1_HUMAN	L7RRS6_HUMAN	0.16	U
D0PNI1_HUMAN	VIME_HUMAN	0.16	U
D0VY79_HUMAN	EGLN1_HUMAN	0.16	U
D0VY79_HUMAN	EP300_HUMAN	0.16	U
DAXX_HUMAN	ETS1_HUMAN	0.16	U
DAXX_HUMAN	MDM2_HUMAN	0.16	U
DCP1A_HUMAN	DCP2_HUMAN	0.16	U
DCP1A_HUMAN	RENT1_HUMAN	0.12	U
DCP1B_HUMAN	DCP2_HUMAN	0.16	U
DCP2_HUMAN	EDC4_HUMAN	0.16	U
DDA1_HUMAN	DDB1_HUMAN	0.16	U
DDX21_HUMAN	JUN_HUMAN	0.16	U
DDX5_HUMAN	G4XH65_HUMAN	0.16	U
DMAP1_HUMAN	DNMT1_HUMAN	0.04	U
DNMT1_HUMAN	HDAC1_HUMAN	0.04	U
DNMT1_HUMAN	PCNA_HUMAN	0.16	U
DOK2_HUMAN	NCK1_HUMAN	0.16	U
DYR1A_HUMAN	SF3B1_HUMAN	0.16	D
E2F1_HUMAN	RBL1_HUMAN	0.04	U
E2F1_HUMAN	RB_HUMAN	0.16	U
E2F1_HUMAN	TFDP2_HUMAN	0.16	U
E2F3_HUMAN	RB_HUMAN	0.16	U
EDF1_HUMAN	TBP_HUMAN	0.16	U
EGFR_HUMAN	EPN1_HUMAN	0.16	U
EGFR_HUMAN	PTN1_HUMAN	0.16	D
EIF3A_HUMAN	IF4B_HUMAN	0.16	U
ELF1_HUMAN	SP1_HUMAN	0.16	U
EMD_HUMAN	YTDC1_HUMAN	0.16	U
EP300_HUMAN	G4XH65_HUMAN	0.16	U
EP300_HUMAN	H31_HUMAN	0.12	U
EP300_HUMAN	JUN_HUMAN	0.16	U
EP300_HUMAN	P53_HUMAN	0.12	U
EP300_HUMAN	SMAD3_HUMAN	0.08	U
EP400_HUMAN	MYC_HUMAN	0.08	U
ERBB2_HUMAN	DOCK7_HUMAN	0.16	D
ERBB2_HUMAN	HS90A_HUMAN	0.16	U
FADD_HUMAN	RIPK1_HUMAN	0.16	U
FAF1_HUMAN	TERA_HUMAN	0.16	U
FEN1_HUMAN	PCNA_HUMAN	0.04	U
FEN1_HUMAN	WRN_HUMAN	0.04	U
FKBP4_HUMAN	HS90A_HUMAN	0.16	U
FNBP4_HUMAN	KHDR1_HUMAN	0.16	U
FOS_HUMAN	JUNB_HUMAN	0.16	U
FOS_HUMAN	JUN_HUMAN	0.16	U
FOS_HUMAN	TBP_HUMAN	0.04	U
G4XH65_HUMAN	MED1_HUMAN	0.16	U
G4XH65_HUMAN	NCOA1_HUMAN	0.16	U
G4XH65_HUMAN	NCOA2_HUMAN	0.16	U
G4XH65_HUMAN	NCOA3_HUMAN	0.16	U
G4XH65_HUMAN	PHB2_HUMAN	0.16	U
G4XH65_HUMAN	SAFB1_HUMAN	0.16	U
G4XH65_HUMAN	SRC_HUMAN	0.16	U
G4XH65_HUMAN	TDIF2_HUMAN	0.16	U
GBRL1_HUMAN	RBGP1_HUMAN	0.16	U
GBRL1_HUMAN	SQSTM_HUMAN	0.16	U
GBRL1_HUMAN	TBD2B_HUMAN	0.16	U
GDIR1_HUMAN	RHOA_HUMAN	0.16	U
GRAP2_HUMAN	LCP2_HUMAN	0.16	U
GSK3B_HUMAN	CLAP2_HUMAN	0.16	D
H12_HUMAN	SUMO2_HUMAN	0.16	U
H13_HUMAN	SUMO1_HUMAN	0.16	U
H2AX_HUMAN	MDC1_HUMAN	0.16	U
H2AX_HUMAN	TP53B_HUMAN	0.16	U
H31_HUMAN	WDR5_HUMAN	0.16	U
HDAC1_HUMAN	HDAC2_HUMAN	0.16	U
HDAC1_HUMAN	KDM1A_HUMAN	0.16	U
HDAC1_HUMAN	NSD2_HUMAN	0.16	U
HDAC1_HUMAN	P53_HUMAN	0.16	U
HDAC1_HUMAN	RB_HUMAN	0.12	U
HDAC1_HUMAN	SIN3A_HUMAN	0.16	U
HDAC1_HUMAN	SIN3B_HUMAN	0.16	U
HDAC1_HUMAN	SP1_HUMAN	0.16	U
HDAC2_HUMAN	SRA1_HUMAN	0.16	U
HDAC4_HUMAN	MEF2D_HUMAN	0.16	U
HIRA_HUMAN	UBN1_HUMAN	0.16	U
HMGA1_HUMAN	SP1_HUMAN	0.16	U
HNRPD_HUMAN	IF4G1_HUMAN	0.04	U
HNRPF_HUMAN	ROA0_HUMAN	0.16	U
HNRPF_HUMAN	SUMO1_HUMAN	0.16	U
HNRPK_HUMAN	RBMX_HUMAN	0.16	U
HS90A_HUMAN	L7RRS6_HUMAN	0.12	U
HS90A_HUMAN	TEBP_HUMAN	0.16	U
I17RA_HUMAN	TRAF6_HUMAN	0.16	U
IF16_HUMAN	K7PPA8_HUMAN	0.16	U
IF4E_HUMAN	IF4G1_HUMAN	0.16	U
IGBP1_HUMAN	PP4C_HUMAN	0.16	U
IKKA_HUMAN	IKKB_HUMAN	0.16	U
IKKA_HUMAN	TRAF2_HUMAN	0.16	U
IKKB_HUMAN	DOK1_HUMAN	0.16	D
IRAK1_HUMAN	Q6FIE9_HUMAN	0.04	U
IRAK1_HUMAN	TRAF6_HUMAN	0.04	U
J3KN59_HUMAN	RHG01_HUMAN	0.16	U
K7PPA8_HUMAN	MDM2_HUMAN	0.16	U
K7PPA8_HUMAN	NOC2L_HUMAN	0.16	U
K7PPA8_HUMAN	SIR1_HUMAN	0.16	U
K7PPA8_HUMAN	TOPK_HUMAN	0.16	U
KAPCA_HUMAN	CASP9_HUMAN	0.04	D
KAPCA_HUMAN	CBX3_HUMAN	0.16	D
KAPCA_HUMAN	CFTR_HUMAN	0.12	D
KAPCA_HUMAN	CUX1_HUMAN	0.16	D
KAPCA_HUMAN	H14_HUMAN	0.16	D
KAPCA_HUMAN	KC1A_HUMAN	0.16	D
KAPCA_HUMAN	LASP1_HUMAN	0.16	D
KAPCA_HUMAN	NDE1_HUMAN	0.16	D
KAPCA_HUMAN	NFAC1_HUMAN	0.16	D
KAPCA_HUMAN	PDE3B_HUMAN	0.16	D
KAPCA_HUMAN	PTBP1_HUMAN	0.16	D
KAPCA_HUMAN	PTN7_HUMAN	0.16	D
KAPCA_HUMAN	PYR1_HUMAN	0.16	D
KAT2B_HUMAN	KLF13_HUMAN	0.16	U
KAT2B_HUMAN	P53_HUMAN	0.16	U
KAT6A_HUMAN	RUNX1_HUMAN	0.04	U
KBTB7_HUMAN	Q658J6_HUMAN	0.16	U
KC1A_HUMAN	NFAC3_HUMAN	0.16	D
KDM1A_HUMAN	ZN217_HUMAN	0.16	U
KEAP1_HUMAN	SQSTM_HUMAN	0.16	U
KEAP1_HUMAN	T22D4_HUMAN	0.16	U
KHDR1_HUMAN	LCK_HUMAN	0.16	U
KHDR1_HUMAN	SRC_HUMAN	0.16	U
KHDR1_HUMAN	WBP4_HUMAN	0.16	U
KIF4A_HUMAN	SUMO2_HUMAN	0.16	U
KPCA_HUMAN	ADDB_HUMAN	0.04	D
KPCA_HUMAN	COF1_HUMAN	0.16	D
KPCA_HUMAN	LRP1_HUMAN	0.16	D
KPCA_HUMAN	MARCS_HUMAN	0.16	D
KPCA_HUMAN	THOC5_HUMAN	0.16	D
KPCA_HUMAN	VTNC_HUMAN	0.16	D
KS6B1_HUMAN	EF2K_HUMAN	0.16	D
KS6B1_HUMAN	NCBP1_HUMAN	0.16	D
KS6B1_HUMAN	RPTOR_HUMAN	0.16	U
KS6B1_HUMAN	RS6_HUMAN	0.16	D
KS6B1_HUMAN	TCPB_HUMAN	0.16	D
L7RRS6_HUMAN	RASH_HUMAN	0.16	U
L7RRS6_HUMAN	RRAS2_HUMAN	0.16	U
L7RT18_HUMAN	RPGF1_HUMAN	0.16	U
LAT_HUMAN	PLCG1_HUMAN	0.16	U
LCK_HUMAN	ZAP70_HUMAN	0.16	D
LCP2_HUMAN	NCK1_HUMAN	0.16	U
LRP1_HUMAN	TSP1_HUMAN	0.16	U
M3K1_HUMAN	MP2K4_HUMAN	0.16	U
M3K2_HUMAN	MP2K4_HUMAN	0.16	U
M3K7_HUMAN	TRAF6_HUMAN	0.16	U
MAGD1_HUMAN	XIAP_HUMAN	0.16	U
MAPK2_HUMAN	PARN_HUMAN	0.16	D
MAPK2_HUMAN	RTN4_HUMAN	0.16	D
MCM2_HUMAN	MCM4_HUMAN	0.16	U
MDM2_HUMAN	P53_HUMAN	0.16	U
MDM2_HUMAN	UB2D2_HUMAN	0.16	U
MK01_HUMAN	ABI1_HUMAN	0.16	D
MK01_HUMAN	NU153_HUMAN	0.16	D
MK01_HUMAN	PML_HUMAN	0.16	D
MK01_HUMAN	RS3_HUMAN	0.16	D
MK01_HUMAN	RUNX1_HUMAN	0.16	D
MK01_HUMAN	VINEX_HUMAN	0.16	D
MK08_HUMAN	4ET_HUMAN	0.16	D
MK14_HUMAN	MAPK2_HUMAN	0.16	D
MK14_HUMAN	MEF2A_HUMAN	0.16	D
MLH1_HUMAN	PMS2_HUMAN	0.16	U
MLH1_HUMAN	ZC11A_HUMAN	0.16	U
MORC3_HUMAN	SUMO2_HUMAN	0.16	U
MP2K4_HUMAN	MK08_HUMAN	0.16	D
MTG8R_HUMAN	MTG8_HUMAN	0.16	U
MTG8_HUMAN	NCOR1_HUMAN	0.16	U
MTOR_HUMAN	4EBP1_HUMAN	0.16	D
MTOR_HUMAN	LARP1_HUMAN	0.16	D
MTOR_HUMAN	PATL1_HUMAN	0.16	D
MTOR_HUMAN	SRRM2_HUMAN	0.16	D
MTOR_HUMAN	UBR4_HUMAN	0.16	D
MTOR_HUMAN	ULK1_HUMAN	0.16	D
MUS81_HUMAN	SLX4_HUMAN	0.16	U
MYC_HUMAN	TRRAP_HUMAN	0.16	U
NAB1_HUMAN	SUMO2_HUMAN	0.16	U
NCOA1_HUMAN	RARA_HUMAN	0.16	U
NCOR1_HUMAN	RARA_HUMAN	0.16	U
NEDD4_HUMAN	UB2L3_HUMAN	0.16	U
NEDD4_HUMAN	WBP2_HUMAN	0.16	U
NHRF1_HUMAN	PHAG1_HUMAN	0.16	U
NOL8_HUMAN	RRAGA_HUMAN	0.16	U
NU107_HUMAN	NU133_HUMAN	0.16	U
NUCL_HUMAN	TOP1_HUMAN	0.16	U
NUMA1_HUMAN	SUMO2_HUMAN	0.16	U
NUMBL_HUMAN	TRAF6_HUMAN	0.16	U
P53_HUMAN	RAD51_HUMAN	0.16	U
P53_HUMAN	SUMO1_HUMAN	0.04	U
P53_HUMAN	TP53B_HUMAN	0.16	U
P53_HUMAN	UBE3A_HUMAN	0.16	U
P53_HUMAN	UBP7_HUMAN	0.16	U
P85A_HUMAN	SHB_HUMAN	0.16	U
PAK1_HUMAN	MINT_HUMAN	0.16	D
PAK1_HUMAN	PCBP1_HUMAN	0.16	D
PAK1_HUMAN	STMN1_HUMAN	0.16	D
PCNA_HUMAN	RFC1_HUMAN	0.16	U
PCNA_HUMAN	UBP1_HUMAN	0.16	U
PDS5A_HUMAN	SMC3_HUMAN	0.16	U
PEX19_HUMAN	PEX3_HUMAN	0.16	U
PIAS1_HUMAN	SUMO1_HUMAN	0.16	U
PININ_HUMAN	PNISR_HUMAN	0.16	U
PININ_HUMAN	SRRM2_HUMAN	0.16	U
PININ_HUMAN	SRSF4_HUMAN	0.16	U
PLEC_HUMAN	VIME_HUMAN	0.16	U
PLK1_HUMAN	ATX10_HUMAN	0.16	D
PLK1_HUMAN	BIRC5_HUMAN	0.12	D
PLK1_HUMAN	PMYT1_HUMAN	0.16	D
PLK1_HUMAN	SLX4_HUMAN	0.04	U
PMYT1_HUMAN	CDK1_HUMAN	0.08	D
PP4C_HUMAN	TCPD_HUMAN	0.16	U
PP4C_HUMAN	TCPZ_HUMAN	0.16	U
PPIP1_HUMAN	PTN18_HUMAN	0.16	U
PPIP1_HUMAN	WASP_HUMAN	0.16	U
PRKN2_HUMAN	PSMD4_HUMAN	0.16	U
PRKN2_HUMAN	UB2J1_HUMAN	0.16	U
PRKN2_HUMAN	UB2L3_HUMAN	0.16	U
PRPF3_HUMAN	SF3B2_HUMAN	0.16	U
PSMD2_HUMAN	TNR1A_HUMAN	0.04	U
