Node,max_freq
GDIR1_HUMAN,0.16
GIPC1_HUMAN,0.12
GIT1_HUMAN,0.12
GLYR1_HUMAN,0.12
GNL1_HUMAN,0.12
GOGA2_HUMAN,0.12
GOLP3_HUMAN,0.18
GON4L_HUMAN,0.12
GORS2_HUMAN,0.12
GPTC8_HUMAN,0.12
GRAP2_HUMAN,0.16
GRB2_HUMAN,0.04
GSK3B_HUMAN,0.16
H12_HUMAN,0.16
H13_HUMAN,0.16
H2AX_HUMAN,0.16
H31T_HUMAN,0.12
H31_HUMAN,0.16
HCFC1_HUMAN,0.08
HDAC1_HUMAN,0.16
HDAC2_HUMAN,0.16
HDAC4_HUMAN,0.16
HD_HUMAN,0.12
HEBP2_HUMAN,0.12
HGS_HUMAN,0.12
HIRA_HUMAN,0.16
HMGA1_HUMAN,0.16
HMGN3_HUMAN,0.12
HNRH3_HUMAN,0.12
HNRL2_HUMAN,0.12
HNRPD_HUMAN,0.12
HNRPF_HUMAN,0.16
HNRPK_HUMAN,0.16
HOIL1_HUMAN,0.08
HOMEZ_HUMAN,0.12
HS90A_HUMAN,0.16
HTF4_HUMAN,0.12
HXB4_HUMAN,0.12
I17RA_HUMAN,0.16
I2BP2_HUMAN,0.18
IBP2_HUMAN,0.12
IF16_HUMAN,0.16
IF4A1_HUMAN,0.12
IF4E_HUMAN,0.16
IF4G1_HUMAN,0.16
IFNB_HUMAN,0.12
IGBP1_HUMAN,0.16
IKBA_HUMAN,0.12
IKKA_HUMAN,0.16
IKKB_HUMAN,0.16
IN80E_HUMAN,0.11
INT1_HUMAN,0.12
INT3_HUMAN,0.12
IRAK1_HUMAN,0.04
IRF1_HUMAN,0.12
IRF3_HUMAN,0.12
IRF7_HUMAN,0.12
IRF8_HUMAN,0.12
ITCH_HUMAN,0.08
IWS1_HUMAN,0.12
J3KN59_HUMAN,0.16
J3KNL6_HUMAN,0.12
JAK2_HUMAN,0.12
JKIP1_HUMAN,0.12
JUN_HUMAN,0.16
K1C10_HUMAN,0.12
K1C16_HUMAN,0.12
K7PPA8_HUMAN,0.16
KAPCA_HUMAN,0.16
KAT2A_HUMAN,0.12
KAT2B_HUMAN,0.16
KAT6A_HUMAN,0.24
KAT8_HUMAN,0.12
KBTB7_HUMAN,0.16
KC1A_HUMAN,0.16
KC1E_HUMAN,0.12
KCRM_HUMAN,0.12
KDM1A_HUMAN,0.16
KDM2B_HUMAN,0.12
KDM3B_HUMAN,0.08
KEAP1_HUMAN,0.16
KHDR1_HUMAN,0.16
KI13B_HUMAN,0.12
KIF14_HUMAN,0.12
KIF2A_HUMAN,0.12
KIF4A_HUMAN,0.16
KLC4_HUMAN,0.12
KNOP1_HUMAN,0.12
KPBB_HUMAN,0.12
KPCA_HUMAN,0.16
KS6B1_HUMAN,0.16
KSYK_HUMAN,0.12
KTNA1_HUMAN,0.18
KTNB1_HUMAN,0.18
L7RRS6_HUMAN,0.16
L7RT18_HUMAN,0.16
LAT_HUMAN,0.16
LCAP_HUMAN,0.12
LCK_HUMAN,0.16
LCP2_HUMAN,0.16
LDB1_HUMAN,0.12
LMO7_HUMAN,0.3
LRP1_HUMAN,0.16
LRRC1_HUMAN,0.12
LSM12_HUMAN,0.12
LSM2_HUMAN,0.12
LSM7_HUMAN,0.12
LUZP1_HUMAN,0.12
LYAR_HUMAN,0.08
M3K14_HUMAN,0.12
M3K1_HUMAN,0.16
M3K2_HUMAN,0.16
M3K7_HUMAN,0.16
MAGD1_HUMAN,0.16
MAP1S_HUMAN,0.12
MAPK2_HUMAN,0.16
MAST4_HUMAN,0.12
MAX_HUMAN,0.12
MCM2_HUMAN,0.16
MD2L1_HUMAN,0.12
MDM2_HUMAN,0.16
MDN1_HUMAN,0.12
MED19_HUMAN,0.04
MED1_HUMAN,0.16
MED4_HUMAN,0.08
MGMT_HUMAN,0.04
MK01_HUMAN,0.16
MK08_HUMAN,0.16
MK14_HUMAN,0.16
MLH1_HUMAN,0.16
MLP3A_HUMAN,0.12
MMTA2_HUMAN,0.12
MORC3_HUMAN,0.16
MP2K4_HUMAN,0.16
MS18A_HUMAN,0.12
MTFR1_HUMAN,0.12
MTG8R_HUMAN,0.16
MTG8_HUMAN,0.16
MTMR4_HUMAN,0.12
MTOR_HUMAN,0.16
MUS81_HUMAN,0.16
MYC_HUMAN,0.16
N0E4C7_HUMAN,0.16
NAB1_HUMAN,0.16
NCK1_HUMAN,0.16
NCOA1_HUMAN,0.16
NCOA7_HUMAN,0.12
NCOR1_HUMAN,0.16
NDUB8_HUMAN,0.12
NEDD4_HUMAN,0.16
NEK1_HUMAN,0.12
NELFB_HUMAN,0.12
NELL1_HUMAN,0.08
NEMF_HUMAN,0.08
NEMO_HUMAN,0.12
NFAC2_HUMAN,0.08
NFIC_HUMAN,0.12
NFYA_HUMAN,0.08
NHRF1_HUMAN,0.16
NINL_HUMAN,0.08
NKTR_HUMAN,0.12
NNTM_HUMAN,0.04
NOL8_HUMAN,0.16
NOLC1_HUMAN,0.16
NOP56_HUMAN,0.08
NOTC1_HUMAN,0.12
NPM_HUMAN,0.16
NSD3_HUMAN,0.12
NSE2_HUMAN,0.12
NSRP1_HUMAN,0.08
NSUN5_HUMAN,0.04
NU107_HUMAN,0.16
NU153_HUMAN,0.16
NU188_HUMAN,0.12
NUCL_HUMAN,0.16
NUMA1_HUMAN,0.16
NUMBL_HUMAN,0.16
NUP93_HUMAN,0.12
NUP98_HUMAN,0.16
OXSR1_HUMAN,0.12
P53_HUMAN,0.16
P63_HUMAN,0.12
P85A_HUMAN,0.16
PABP1_HUMAN,0.12
PAK1_HUMAN,0.16
PALM_HUMAN,0.08
PAPOA_HUMAN,0.12
PARP1_HUMAN,0.12
PARP6_HUMAN,0.12
PATL1_HUMAN,0.16
PAXI1_HUMAN,0.12
PCBP2_HUMAN,0.12
PCF11_HUMAN,0.12
PCNA_HUMAN,0.16
PCNP_HUMAN,0.12
PCY1A_HUMAN,0.12
PDC6I_HUMAN,0.12
PDS5A_HUMAN,0.16
PEX19_HUMAN,0.16
PGM2_HUMAN,0.12
PHAX_HUMAN,0.12
PIAS1_HUMAN,0.16
PIN1_HUMAN,0.12
PININ_HUMAN,0.16
PLCG1_HUMAN,0.16
PLCL2_HUMAN,0.12
PLEC_HUMAN,0.16
PLIN3_HUMAN,0.12
PLK1_HUMAN,0.16
PLMN_HUMAN,0.13
PLXB1_HUMAN,0.12
PMYT1_HUMAN,0.16
POSTN_HUMAN,0.04
POTE1_HUMAN,0.08
PP16B_HUMAN,0.12
PP1A_HUMAN,0.12
PP4C_HUMAN,0.16
PP6R3_HUMAN,0.12
PPIP1_HUMAN,0.16
PPM1G_HUMAN,0.12
PRC2A_HUMAN,0.08
PRC2B_HUMAN,0.12
PRIO_HUMAN,0.12
PRKN2_HUMAN,0.16
PRPF3_HUMAN,0.16
PRR12_HUMAN,0.39
PRS7_HUMAN,0.04
PRSR1_HUMAN,0.12
PSA2_HUMAN,0.12
PSA7_HUMAN,0.12
PSD11_HUMAN,0.12
PSMD2_HUMAN,0.16
PSMD4_HUMAN,0.16
PTTG1_HUMAN,0.16
PUM1_HUMAN,0.39
PZP_HUMAN,0.12
Q53T99_HUMAN,0.08
Q56A76_HUMAN,0.16
Q658J6_HUMAN,0.16
Q6FIE9_HUMAN,0.04
Q7Z372_HUMAN,0.08
Q9H836_HUMAN,0.08
Q9HBD4_HUMAN,0.08
RAB4A_HUMAN,0.12
RAD21_HUMAN,0.12
RAD51_HUMAN,0.16
RAE1L_HUMAN,0.12
RAF1_HUMAN,0.16
RASF5_HUMAN,0.11
RB12B_HUMAN,0.12
RB15B_HUMAN,0.12
RBBP5_HUMAN,0.16
RBM15_HUMAN,0.12
RBM39_HUMAN,0.12
RBM5_HUMAN,0.2
RBM6_HUMAN,0.12
RBMX_HUMAN,0.16
RBP2_HUMAN,0.16
RBP56_HUMAN,0.12
RBX1_HUMAN,0.16
RB_HUMAN,0.16
RCOR1_HUMAN,0.12
RED_HUMAN,0.12
RENT1_HUMAN,0.16
RENT2_HUMAN,0.08
REPS1_HUMAN,0.12
RFTN1_HUMAN,0.12
RHG01_HUMAN,0.16
RHOA_HUMAN,0.16
RIC8A_HUMAN,0.12
RING2_HUMAN,0.16
RIPK1_HUMAN,0.16
RL28_HUMAN,0.12
RL35_HUMAN,0.12
RLA1_HUMAN,0.08
RN114_HUMAN,0.12
RN168_HUMAN,0.16
RN169_HUMAN,0.16
RNF10_HUMAN,0.12
RNF25_HUMAN,0.16
RNF31_HUMAN,0.08
ROCK1_HUMAN,0.16
RPGF4_HUMAN,0.04
RPTOR_HUMAN,0.16
RRAGA_HUMAN,0.16
RRP15_HUMAN,0.12
RSF1_HUMAN,0.16
RSRC2_HUMAN,0.12
RUVB1_HUMAN,0.04
RUVB2_HUMAN,0.04
SAFB1_HUMAN,0.16
SASH3_HUMAN,0.12
SC22B_HUMAN,0.12
SCAFB_HUMAN,0.12
SCMC1_HUMAN,0.12
SCML2_HUMAN,0.12
SEC62_HUMAN,0.08
SENP1_HUMAN,0.16
SENP2_HUMAN,0.16
SENP3_HUMAN,0.16
SEPT2_HUMAN,0.12
SETD2_HUMAN,0.12
SF3B5_HUMAN,0.12
SFPQ_HUMAN,0.16
SFR19_HUMAN,0.12
SGK1_HUMAN,0.08
SGT1_HUMAN,0.12
SIX6_HUMAN,0.12
SKA1_HUMAN,0.04
SKI_HUMAN,0.04
SMAD1_HUMAN,0.12
SMAD2_HUMAN,0.12
SMAD3_HUMAN,0.16
SMAD4_HUMAN,0.16
SMAD7_HUMAN,0.12
SMC1A_HUMAN,0.16
SMC2_HUMAN,0.08
SMC3_HUMAN,0.16
SMG1_HUMAN,0.12
SMRC2_HUMAN,0.12
SMRCD_HUMAN,0.16
SND1_HUMAN,0.16
SNUT1_HUMAN,0.16
SOX1_HUMAN,0.12
SP16H_HUMAN,0.16
SPAST_HUMAN,0.12
SPT4H_HUMAN,0.16
SR140_HUMAN,0.2
SRC_HUMAN,0.16
SRP14_HUMAN,0.08
SRPK2_HUMAN,0.12
SRSF4_HUMAN,0.16
STK11_HUMAN,0.12
SUGP1_HUMAN,0.12
SUMO1_HUMAN,0.16
SUMO2_HUMAN,0.16
SYTC_HUMAN,0.12
T2AG_HUMAN,0.16
T2EA_HUMAN,0.16
T2FA_HUMAN,0.16
TAF6_HUMAN,0.16
TB182_HUMAN,0.12
TBB4A_HUMAN,0.12
TBK1_HUMAN,0.12
TBP_HUMAN,0.16
TCF25_HUMAN,0.12
TDIF2_HUMAN,0.16
TERF1_HUMAN,0.12
TETN_HUMAN,0.12
TF3C1_HUMAN,0.16
TFR1_HUMAN,0.16
TGFR1_HUMAN,0.12
THOC2_HUMAN,0.16
TICRR_HUMAN,0.12
TIM50_HUMAN,0.12
TMCO6_HUMAN,0.12
TNFA_HUMAN,0.08
TNR8_HUMAN,0.08
TRAF2_HUMAN,0.16
TRAF6_HUMAN,0.16
TRI32_HUMAN,0.16
UB2L3_HUMAN,0.16
UBA1_HUMAN,0.12
UBQL1_HUMAN,0.12
UBQL4_HUMAN,0.12
VPS72_HUMAN,0.09
WASP_HUMAN,0.16
WBP11_HUMAN,0.15
WNK1_HUMAN,0.16
WRN_HUMAN,0.04
XRCC5_HUMAN,0.16
XRCC6_HUMAN,0.16
ZAP70_HUMAN,0.16
ZBT16_HUMAN,0.12
ZN330_HUMAN,0.12
